name,   price   ,genericname,category,   costprice   ,unit,   minstock   ,requiresprescription
ABDOMINAL BELT XXL,"55,000.00",ABDOMINAL BELT XXL,,"22,300.00",,2,
ABITOL TABS 4MG,"7,500.00",ABITOL TABS 4MG,,"2,000.00",,   -     ,
ACECLOFENAC TABS,550,ACECLOFENAC TABS,,490,,750,
ACNE FREE TUBE,"8,500.00",ACNE FREE TUBE,,"6,831.95",,75,
ACRASON CREAM TUBE,"3,200.00",ACRASON CREAM TUBE,,"2,900.00",,   -     ,
ACTINAC PLUS TABLET,"3,000.00",ACTINAC PLUS TABLET,,"2,545.76",,225,
ACTION TAB,"7,000.00",ACTION TAB,,"6,250.00",,   -     ,
ACYCLOVIR EYE OINTMENT,"3,500.00",ACYCLOVIR EYE OINTMENT,,"3,000.00",,   -     ,
ACYCLOVIR SKIN CREAM TUBE,"1,700.00",ACYCLOVIR SKIN CREAM TUBE,,"1,280.06",,81,
ACYCLOVIR TAB 200MG,"11,900.00",ACYCLOVIR TAB 200MG,,"9,200.00",,52.5,
ADRENALINE INJ,"1,200.00",ADRENALINE INJ,,"1,154.54",,60,
ADULT DIAPERS,"1,250.00",ADULT DIAPERS,,944.14,,306,
ALBENDAZOLE SYRUP BOTTLE,700,ALBENDAZOLE SYRUP BOTTLE,,550,,"10,041.00",
ALBENDAZOLE TAB 2'S PACKET (ALB,310,ALBENDAZOLE TAB 2'S PACKET (ALB,,269.65,,"23,577.00",
ALLOPURINOL TAB 300MG 100'S,"8,900.00",ALLOPURINOL TAB 300MG 100'S,,"8,034.51",,   -     ,
ALTAPHAM SYRUP BOTTLE,"1,750.00",ALTAPHAM SYRUP BOTTLE,,"1,500.00",,   -     ,
ALU CAT 1,750,ALU CAT 1,,637.03,,30,
ALU CAT 2,"1,050.00",ALU CAT 2,,900,,   -     ,
ALU CAT 4 PACKET,"1,100.00",ALU CAT 4 PACKET,,802.82,,"23,677.00",
ALU SYRUP 60ML BOTTLE,"3,300.00",ALU SYRUP 60ML BOTTLE,,"2,700.00",,220,
ALUGEL SYRUP BOTTLE,"1,750.00",ALUGEL SYRUP BOTTLE,,"1,485.00",,3,
AMINOPHYLINE INJ,"1,150.00",AMINOPHYLINE INJ,,985,,55,
AMINOPHYLINE TAB PKT,"3,150.00",AMINOPHYLINE TAB PKT,,"2,400.00",,259,
AMITRIPTYLINE TAB,"9,800.00",AMITRIPTYLINE TAB,,"7,763.77",,1,
AMLODIPINE TAB 10MG,"2,250.00",AMLODIPINE TAB 10MG,,"1,500.84",,490,
AMLODIPINE TAB 5MG,"1,800.00",AMLODIPINE TAB 5MG,,"1,097.50",,366,
AMOL G CREAM TUBE,"3,100.00",AMOL G CREAM TUBE,,"2,700.00",,   -     ,
AMOX-CLAV SYRUP 228.5,"4,200.00",AMOX-CLAV SYRUP 228.5,,"3,400.00",,262,
AMOXCLAV TAB PACKET,"4,300.00",AMOXCLAV TAB PACKET,,"3,804.78",,"2,144.00",
AMOXLAV INJ,"3,950.00",AMOXLAV INJ,,"3,209.11",,408,
AMOXYLLIN CAP 250MG,"4,200.00",AMOXYLLIN CAP 250MG,,"3,461.30",,791,
AMOXYLLIN DT TABS,"7,700.00",AMOXYLLIN DT TABS,,"5,700.00",,126,
AMOXYLLINE SYRUP 100ML BOTTLE,"1,150.00",AMOXYLLINE SYRUP 100ML BOTTLE,,843.97,,"3,372.00",
AMPICILLIN + SULBACTUM 375MG TA,"15,000.00",AMPICILLIN + SULBACTUM 375MG TA,,"11,500.00",,   -     ,
AMPICILLIN CAPS 250MG,"7,600.00",AMPICILLIN CAPS 250MG,,"6,265.38",,   -     ,
AMPICILLIN INJ 500MG VIAL,950,AMPICILLIN INJ 500MG VIAL,,550,,171,
AMPICILLIN SYRUP 100ML BOTTLE,"1,350.00",AMPICILLIN SYRUP 100ML BOTTLE,,"1,100.00",,   -     ,
AMPICLOX CAPS 500MG,"10,000.00",AMPICLOX CAPS 500MG,,"8,542.20",,"4,693.00",
AMPICLOX INJ 500MG VIAL,850,AMPICLOX INJ 500MG VIAL,,650,,515,
AMPICLOX NEONATAL,"3,100.00",AMPICLOX NEONATAL,,"2,450.00",,54,
AMPICLOX SYRUP 100ML BOTTLE,"1,850.00",AMPICLOX SYRUP 100ML BOTTLE,,"1,450.00",,296,
ANT-RABIES IMMUNOGLOBIN,"24,500.00",ANT-RABIES IMMUNOGLOBIN,,"20,022.59",,101,
ANTI-D IMMUNOGLOBULIN,"170,000.00",ANTI-D IMMUNOGLOBULIN,,"121,000.00",,3,
ANTIHISTAMINE CREAM TUBE,"1,450.00",ANTIHISTAMINE CREAM TUBE,,"1,150.00",,37,
ANUSOL OINTMENT TUBE,"13,000.00",ANUSOL OINTMENT TUBE,,"7,500.00",,   -     ,
ANUSOL SUPOSSITORY TABS,"1,400.00",ANUSOL SUPOSSITORY TABS,,"1,033.60",,   -     ,
APCALIS CT 20MG,"3,000.00",APCALIS CT 20MG,,"2,625.00",,   -     ,
APDYL- H HERBAL SYRUP,"2,100.00",APDYL- H HERBAL SYRUP,,"1,950.00",,   -     ,
ARTEMETHER INJ 80MG,600,ARTEMETHER INJ 80MG,,467,,555,
ARTEQUICK TAB 6s PACKET,"8,400.00",ARTEQUICK TAB 6s PACKET,,"7,250.00",,13,
ARTESUNATE INJ 30MG,"2,900.00",ARTESUNATE INJ 30MG,,"2,500.00",,   -     ,
ARTESUNATE INJ. 60MG,"2,700.00",ARTESUNATE INJ. 60MG,,"1,800.00",,   -     ,
ASCARD TAB 75MG,"2,300.00",ASCARD TAB 75MG,,"1,800.00",,118,
ASCORIL D SYRUP,"3,400.00",ASCORIL D SYRUP,,"2,700.00",,45,
ATENOLOL TAB 50MG,"3,400.00",ATENOLOL TAB 50MG,,"2,303.95",,47,
ATORVASTATIN TAB 10MG,"2,500.00",ATORVASTATIN TAB 10MG,,"2,215.54",,66,
ATORVASTATIN TABS 20MG,"2,900.00",ATORVASTATIN TABS 20MG,,"1,614.63",,70,
ATROPINE INJ,"1,350.00",ATROPINE INJ,,997.11,,110,
AZITHROMYCIN SYRUP BOTTLE 15MLS,"1,750.00",AZITHROMYCIN SYRUP BOTTLE 15MLS,,"1,300.00",,105,
AZITHROMYCIN TAB 500MG NOT AZUM,"1,300.00",AZITHROMYCIN TAB 500MG NOT AZUM,,"1,100.14",,"1,010.00",
AZUMA TAB 250MG,"1,450.00",AZUMA TAB 250MG,,"1,100.00",,164,
AZUMA TAB 500MG,"2,150.00",AZUMA TAB 500MG,,"1,800.54",,"2,709.00",
BABY WIPES,"2,500.00",BABY WIPES,,"2,750.00",,   -     ,
BAHASHA KAKI 100'S,"1,000.00",BAHASHA KAKI 100'S,,719.9,,70,
BAHASHA KAKI KUBWA 120'S,"6,000.00",BAHASHA KAKI KUBWA 120'S,,"4,687.75",,   -     ,
BBE SOLUTION,"1,000.00",BBE SOLUTION,,754.2,,199,
BELLADONA SYRUP 100ML BOTTLE,"1,300.00",BELLADONA SYRUP 100ML BOTTLE,,"1,000.00",,359,
BENDROFLUMETHIAZIDE TAB,"6,500.00",BENDROFLUMETHIAZIDE TAB,,"6,100.13",,33,
BENZATHINE PENICILLIN INJ PENAD,950,BENZATHINE PENICILLIN INJ PENAD,,796.34,,126,
BENZYL PENICILLIN INJ 5000000IU,950,BENZYL PENICILLIN INJ 5000000IU,,800,,146,
BETACORT N CREAM,"2,350.00",BETACORT N CREAM,,"2,050.20",,320,
BETADERM CREAM,"3,300.00",BETADERM CREAM,,"2,652.07",,3,
BETASIL SYRUP CHILD,"2,200.00",BETASIL SYRUP CHILD,,"1,000.00",,   -     ,
BETROZOLE SYRUP,"2,450.00",BETROZOLE SYRUP,,"2,175.00",,113,
BISACODYL TAB,"4,500.00",BISACODYL TAB,,"3,700.04",,135,
BISOPROLOL TABLET 5MG,"10,500.00",BISOPROLOL TABLET 5MG,,"6,630.14",,123,
BISOPROLOL TABLET10MG,"10,800.00",BISOPROLOL TABLET10MG,,"8,693.92",,210,
BLOOD GIVING SET,"1,400.00",BLOOD GIVING SET,,610.69,,21,
BONISAN,"8,000.00",BONISAN,,"6,794.12",,   -     ,
BORIC ACID EAR DROP BOTTLE,"1,000.00",BORIC ACID EAR DROP BOTTLE,,650,,18,
BROMOCRIPTINE TAB,"18,900.00",BROMOCRIPTINE TAB,,"16,500.00",,4,
BROZEN SYRUP 100ML BOTTLE,"2,250.00",BROZEN SYRUP 100ML BOTTLE,,857.12,,139,
BRUSTAN TAB PACKET,"2,000.00",BRUSTAN TAB PACKET,,"1,852.91",,3,
BURN CREAM 20G,"1,800.00",BURN CREAM 20G,,"1,100.00",,38,
BURNOX CREAM 30G TUBE,"2,100.00",BURNOX CREAM 30G TUBE,,"1,838.80",,   -     ,
BURRETE GIVING SET,"2,800.00",BURRETE GIVING SET,,"2,350.00",,74,
CALAMINE LOTION BOTTLE,"1,200.00",CALAMINE LOTION BOTTLE,,762.2,,109,
CANDESARTAN TABS 16MG,"13,800.00",CANDESARTAN TABS 16MG,,"12,066.79",,153,
CANDESARTAN TABS 8MG 30's,"7,900.00",CANDESARTAN TABS 8MG 30's,,"6,418.13",,100,
CANDID POWDER,"3,700.00",CANDID POWDER,,"3,455.00",,22,
CANDIDERM CREAM TUBE,"2,300.00",CANDIDERM CREAM TUBE,,"2,150.00",,   -     ,
CANDISTAT CREAM TUBE,"1,350.00",CANDISTAT CREAM TUBE,,"1,073.21",,33,
CANNULA 18G GREEN,300,CANNULA 18G GREEN,,185.09,,248,
CANNULA 20G PINK,300,CANNULA 20G PINK,,175.13,,446,
CANNULA 22G BLUE,300,CANNULA 22G BLUE,,207.07,,312,
CANNULA 24G YELLOW,300,CANNULA 24G YELLOW,,180.68,,"2,709.00",
CAPTOPRIL TAB 25MG,"8,900.00",CAPTOPRIL TAB 25MG,,"6,215.27",,   -     ,
CARBAMAZEPINE TABS 200MG,"11,500.00",CARBAMAZEPINE TABS 200MG,,"9,362.52",,   -     ,
CARBOCISTEINE SYRUP ADULT 5%,"2,250.00",CARBOCISTEINE SYRUP ADULT 5%,,"1,900.00",,24,
CARBOCISTEINE SYRUP CHILD 2%,"2,250.00",CARBOCISTEINE SYRUP CHILD 2%,,"1,760.00",,77,
CARVEDILOL 12.5MG,"4,200.00",CARVEDILOL 12.5MG,,"3,806.80",,172,
CARVEDILOL 6.25MG,"3,700.00",CARVEDILOL 6.25MG,,"3,300.00",,161,
CASTOR OIL BOTTLE,"3,100.00",CASTOR OIL BOTTLE,,"2,700.00",,9,
CATHY SANITARY PADS,"4,000.00",CATHY SANITARY PADS,,"3,667.00",,   -     ,
CEFADROXIL CAPS 500MG 10'S,"3,650.00",CEFADROXIL CAPS 500MG 10'S,,"3,200.00",,80,
CEFIXIME 200MG TAB,"3,900.00",CEFIXIME 200MG TAB,,"3,119.59",,494,
CEFIXIME 400MG TAB,"8,800.00",CEFIXIME 400MG TAB,,"6,957.42",,"4,428.00",
CEFIXIME SYRUP,"3,950.00",CEFIXIME SYRUP,,"2,550.00",,   -     ,
CEFPODOXIME 200MG 10'S,"9,600.00",CEFPODOXIME 200MG 10'S,,"8,800.00",,   -     ,
CEFTRIAXONE + SULBACTAM INJ,"3,000.00",CEFTRIAXONE + SULBACTAM INJ,,"2,100.00",,697,
CEFTRIAXONE INJ 1G,"1,000.00",CEFTRIAXONE INJ 1G,,680.32,,201,
CEFUROXIME 250MG 10'S,"9,400.00",CEFUROXIME 250MG 10'S,,"7,729.03",,   -     ,
CELESTAMINE TABS,"13,000.00",CELESTAMINE TABS,,"7,500.00",,   -     ,
CEPHALEXIN CAP 500MG,"16,900.00",CEPHALEXIN CAP 500MG,,"14,179.84",,29,
CEPHALEXIN CAPS 250MG,"7,900.00",CEPHALEXIN CAPS 250MG,,"7,000.00",,1,
CEPHALEXIN SYRUP 100ML BOTTLE,"2,100.00",CEPHALEXIN SYRUP 100ML BOTTLE,,"1,405.36",,615,
CERVICAL COLLAR,"22,500.00",CERVICAL COLLAR,,"15,000.00",,   -     ,
CETRIZINE SYRUP BOTTLE,"1,350.00",CETRIZINE SYRUP BOTTLE,,804.73,,"4,010.00",
CETRIZINE TABS,"2,050.00",CETRIZINE TABS,,"1,529.86",,619,
CHESTCOF LOZENGES,"8,400.00",CHESTCOF LOZENGES,,"6,400.00",,68,
CHESTCOF SYRUP BOTTLE,"2,200.00",CHESTCOF SYRUP BOTTLE,,"1,800.00",,285,
CHLORAMPHENICOL CAPS,"7,950.00",CHLORAMPHENICOL CAPS,,"6,140.64",,327,
CHLORAMPHENICOL EYE DROP BOTTLE,550,CHLORAMPHENICOL EYE DROP BOTTLE,,325.37,,39,
CHLORAMPHENICOL EYE OINT TUBE,750,CHLORAMPHENICOL EYE OINT TUBE,,505.33,,"1,372.00",
CHLORAMPHENICOL SYRUP 100ML,"1,800.00",CHLORAMPHENICOL SYRUP 100ML,,"1,400.00",,422,
CHROMC CUTGUT NO. 2/0  P12,"18,000.00",CHROMC CUTGUT NO. 2/0  P12,,"11,580.00",,20,
CIFRAN CT-100,"4,300.00",CIFRAN CT-100,,"3,593.00",,255,
CIMETIDINE TAB 400MG,"25,500.00",CIMETIDINE TAB 400MG,,"24,300.00",,20,
CIPRO EYE/EAR DROP BOTTLE,"1,100.00",CIPRO EYE/EAR DROP BOTTLE,,400,,22,
CIPROFLOXACIN IV,900,CIPROFLOXACIN IV,,750,,110,
CIPROFLOXACIN TAB,"6,350.00",CIPROFLOXACIN TAB,,"4,790.89",,39,
CITAL SYRUP,"7,200.00",CITAL SYRUP,,"5,800.00",,140,
CLARITHROMYCIN 20'S TAB,"18,800.00",CLARITHROMYCIN 20'S TAB,,"14,560.00",,46,
CLEAV KIT,"30,000.00",CLEAV KIT,,"6,660.71",,77,
CLEAV TABS 4'S,"3,900.00",CLEAV TABS 4'S,,"2,300.00",,64,
CLINDAMYCIN CAPS 150MG,"7,900.00",CLINDAMYCIN CAPS 150MG,,"7,119.45",,   -     ,
CLINDAMYCIN GEL 1%,"2,500.00",CLINDAMYCIN GEL 1%,,"1,300.00",,64,
CLOMIPHENE TAB,"3,000.00",CLOMIPHENE TAB,,"2,700.00",,127,
CLOPIDOGREL TAB,"3,950.00",CLOPIDOGREL TAB,,"3,497.54",,148,
CLOTRILIN V CREAM,"1,350.00",CLOTRILIN V CREAM,,"1,000.00",,608,
CLOTRIMAZOLE CREAM (OTHERS) PRI,650,CLOTRIMAZOLE CREAM (OTHERS) PRI,,401.1,,486,
CLOTRIMAZOLE PESSARY 6s PACKET,"1,000.00",CLOTRIMAZOLE PESSARY 6s PACKET,,650,,"1,263.00",
COFFNIL HERBAL SYRUP,"1,800.00",COFFNIL HERBAL SYRUP,,"1,500.00",,347,
COFTA LOZENGES,"7,800.00",COFTA LOZENGES,,"6,596.83",,   -     ,
COLD CAP SYRUP,"3,000.00",COLD CAP SYRUP,,"2,500.00",,   -     ,
COLD OFF CAP,"7,950.00",COLD OFF CAP,,"7,550.00",,   -     ,
COLD OIL (SEVEN SEAS),"9,000.00",COLD OIL (SEVEN SEAS),,"8,000.00",,   -     ,
COLD VAN CAPS,"7,900.00",COLD VAN CAPS,,   -     ,,3,
COLDCAP 96'S CAPS,"14,400.00",COLDCAP 96'S CAPS,,"12,500.00",,   -     ,
COLDRIL CAPS,"2,100.00",COLDRIL CAPS,,"1,800.00",,443,
COLDRIL SYRUP BOTTLE,"2,000.00",COLDRIL SYRUP BOTTLE,,"1,601.98",,346,
COLGATE  140G,"3,900.00",COLGATE  140G,,"3,326.58",,   -     ,
COLGATE  70G,"2,300.00",COLGATE  70G,,"1,920.00",,61,
COLGATE CHARCOAL 120G,"4,700.00",COLGATE CHARCOAL 120G,,"4,400.00",,   -     ,
COLGATE MAXFRESH 130G,"4,000.00",COLGATE MAXFRESH 130G,,"3,792.00",,   -     ,
COLGATE MAXFRESH 65G,"2,300.00",COLGATE MAXFRESH 65G,,"2,000.00",,   -     ,
COLGATE MISWAKI,"1,400.00",COLGATE MISWAKI,,"1,151.86",,36,
"CONDOM BULL,KISS,LIFEGUARD",450,"CONDOM BULL,KISS,LIFEGUARD",,385.4,,"2,706.00",
CONDOM FIESTA,750,CONDOM FIESTA,,535.52,,30,
CONDOM FLAME,980,CONDOM FLAME,,780,,14,
CONDOM REGULAR (DUME),350,CONDOM REGULAR (DUME),,283.64,,   -     ,
COPHYDEX SYRUP BOTTLE,"1,950.00",COPHYDEX SYRUP BOTTLE,,"1,500.44",,2,
CORD CLAMP,250,CORD CLAMP,,111.17,,"1,410.00",
COTTON WOOL 100G,"1,300.00",COTTON WOOL 100G,,895.51,,620,
COTTON WOOL 50G,700,COTTON WOOL 50G,,505,,   -     ,
CREPE BANDAGE 10CM,"1,600.00",CREPE BANDAGE 10CM,,"1,079.31",,   -     ,
CREPE BANDAGE 15 CM,"1,900.00",CREPE BANDAGE 15 CM,,"1,268.92",,89,
CREPE BANDAGE 5CM,"1,200.00",CREPE BANDAGE 5CM,,736.76,,587,
CREPE BANDAGE 7.5 CM,"1,400.00",CREPE BANDAGE 7.5 CM,,648.2,,358,
DAWA TATU TABS,"9,300.00",DAWA TATU TABS,,"8,499.50",,36,
DAWA YA MBA LOTION 100ML BOTTLE,750,DAWA YA MBA LOTION 100ML BOTTLE,,550,,29,
DEEP HEAT SPRAY,"17,800.00",DEEP HEAT SPRAY,,"13,590.91",,54,
DENTAMOL TAB,"2,200.00",DENTAMOL TAB,,"1,956.31",,4,
DENTAWISS 125MLS,"3,400.00",DENTAWISS 125MLS,,"3,000.00",,   -     ,
DEPO PROVERA INJ,"1,600.00",DEPO PROVERA INJ,,"1,000.00",,185,
DEPROFOS INJ.,"22,000.00",DEPROFOS INJ.,,"18,000.00",,12,
DERMAQUIT CREAM 15MG,"3,500.00",DERMAQUIT CREAM 15MG,,"3,200.00",,6,
DESLORATADINE TABS 30'S,"8,000.00",DESLORATADINE TABS 30'S,,"5,493.29",,   -     ,
DETTOL BRND 60MLS,"1,950.00",DETTOL BRND 60MLS,,"1,672.14",,   -     ,
DETTOL SOAP,"1,300.00",DETTOL SOAP,,"1,583.33",,   -     ,
DETTOL SOAP JUNIOR,"1,280.00",DETTOL SOAP JUNIOR,,"1,007.00",,   -     ,
DETTOL SOAP KUBWA,"2,300.00",DETTOL SOAP KUBWA,,"2,222.22",,   -     ,
DETTOL SOLN 125ML,"3,950.00",DETTOL SOLN 125ML,,"3,650.00",,   -     ,
DETTOL SOLN 50MLS,"1,950.00",DETTOL SOLN 50MLS,,"1,668.00",,12,
DETTOL SOLUTION 100MLS BOTTLE,"1,350.00",DETTOL SOLUTION 100MLS BOTTLE,,"1,178.00",,   -     ,
DETTTOL SOLN 500MLS,"11,000.00",DETTTOL SOLN 500MLS,,"9,500.00",,   -     ,
DEXA-CHLORO EYE DROP BOTTLE,"1,750.00",DEXA-CHLORO EYE DROP BOTTLE,,"1,300.00",,175,
DEXA-GENTA EYE DROP,"2,150.00",DEXA-GENTA EYE DROP,,"1,700.00",,   -     ,
DEXA-NEO EYE DROP BOTTLE,950,DEXA-NEO EYE DROP BOTTLE,,769.46,,"1,139.00",
DEXAMETHASONE EYE DROPS,"1,200.00",DEXAMETHASONE EYE DROPS,,700,,960,
DEXAMETHASONE INJ,"1,400.00",DEXAMETHASONE INJ,,718.85,,100,
DEXAMETHASONE TAB,"10,950.00",DEXAMETHASONE TAB,,"9,500.00",,   -     ,
DEXTROSE 10%,"1,900.00",DEXTROSE 10%,,"1,325.00",,   -     ,
DEXTROSE 5%,"1,100.00",DEXTROSE 5%,,949.4,,   -     ,
DEXTROSE+ NORMAL SALINE (DNS),"1,100.00",DEXTROSE+ NORMAL SALINE (DNS),,950,,10,
DIAZEPAM INJ,"1,250.00",DIAZEPAM INJ,,"1,100.00",,50,
DIAZEPAM TABS PKT,"3,300.00",DIAZEPAM TABS PKT,,"2,000.00",,27,
DICLOFENAC GEL TUBE,750,DICLOFENAC GEL TUBE,,549.99,,102,
DICLOFENAC INJ 75MG AMP,250,DICLOFENAC INJ 75MG AMP,,150.17,,"2,555.00",
DICLOFENAC TABS PACKET,"1,700.00",DICLOFENAC TABS PACKET,,"1,160.24",,115,
DICLOPAR CHUI TABS PACKET,"4,800.00",DICLOPAR CHUI TABS PACKET,,"4,183.24",,532,
DICLOPAR GEL TUBE,"2,350.00",DICLOPAR GEL TUBE,,"2,099.70",,153,
